,0,1,2,3,4,5
177,1,2014,BMW,X1,"$22,999 ","20,400 miles"
178,0,2013,AUDI,Q5 PREMIUM,"$22,999 ","83,165 miles"
179,1,2015,ACURA,MDX,"$18,995 ","56,381 miles"
180,0,2012,BMW,X5 XDRIVE35I,"$18,980 ","83,183 miles"
182,0,2017,BMW,X3,"$24,160 ","4,951 miles"
183,1,2015,MAZDA,CX-5,"$24,160 ","36,122 miles"
184,0,2011,TOYOTA,RAV4,"$45,998 ","36,734 miles"
185,0,2016,JEEP,COMPASS HIGH ALTITUDE,"$45,998 ","10,340 miles"
187,0,2012,JEEP,WRANGLER UNLIMITED,"$19,900 ","41,310 miles"
188,1,2014,BMW,X3,"$11,995 ","30,877 miles"
189,0,2014,NISSAN,ROGUE SELECT,"$11,995 ","35,340 miles"
190,0,2017,BMW,X5,"$16,886 ","4,650 miles"
191,1,2014,BMW,X6,"$8,995 ","20,540 miles"
192,0,2014,NISSAN,ROGUE,"$8,995 ","22,904 miles"
193,0,2015,MAZDA,CX-5 GRAND,"$26,995 ","45,376 miles"
194,0,2012,JEEP,GRAND CHEROKEE,"$18,992 ","83,565 miles"
195,1,2016,HONDA,CR-V,"$18,992 ","4,263 miles"
196,0,2015,JEEP,GRAND CHEROKEE LIMITED,"$28,495 ","44,529 miles"
198,0,2012,DODGE,DURANGO,"$26,991 ","80,575 miles"
199,0,2015,HONDA,CR-V,"$26,991 ","76,136 miles"
200,0,2017,BMW,X1,"$18,797 ","3,126 miles"
201,1,2013,MAZDA,CX-5,"$18,797 ","25,456 miles"
202,0,2015,BMW,X5,"$19,888 ","58,940 miles"
204,1,2017,MAZDA,CX-9,"$19,795 ","19,250 miles"
206,0,2013,JEEP,GRAND CHEROKEE,"$39,998 ","62,351 miles"
207,1,2017,MAZDA,CX-9 GRAND,"$39,998 ","14,282 miles"
209,1,2015,LEXUS,RX,"$35,495 ","14,116 miles"
210,0,2010,JEEP,LIBERTY,"$35,495 ","79,083 miles"
211,1,2015,FORD,EXPLORER,"$9,495 ","37,100 miles"
212,1,2015,ACURA,RDX,"$9,495 ","20,209 miles"
213,0,2014,FORD,EXPLORER,"$31,730 ","43,168 miles"
215,0,2014,NISSAN,MURANO,"$28,970 ","21,947 miles"
216,0,2012,HONDA,ACCORD CROSSTOUR,"$21,991 ","69,707 miles"
217,1,2016,FORD,FLEX,"$21,991 ","35,650 miles"
218,0,2008,NISSAN,ROGUE,"$17,987 ","94,367 miles"
219,0,2014,NISSAN,ROGUE,"$17,987 ","33,600 miles"
220,1,2014,MAZDA,CX-9,"$17,885 ","29,056 miles"
221,0,2016,NISSAN,MURANO,"$17,885 ","11,806 miles"
222,0,2013,JEEP,WRANGLER,"$8,800 ","72,152 miles"
223,0,2016,LEXUS,RX,"$44,995 ","8,612 miles"
226,1,2016,HONDA,PILOT,"$22,897 ","47,276 miles"
227,0,2013,DODGE,DURANGO,"$13,933 ","36,646 miles"
228,1,2014,ACURA,MDX,"$35,995 ","45,907 miles"
230,0,2011,MERCEDES-BENZ,GL-CLASS GL 450,"$7,995 ","69,869 miles"
231,1,2014,HONDA,CR-V,"$23,991 ","35,918 miles"
233,1,2014,HONDA,CR-V,"$26,988 ","31,286 miles"
234,0,2017,MERCEDES-BENZ,GLE 350,"$26,988 ","6,851 miles"
235,0,2014,LEXUS,RX,"$30,000 ","32,174 miles"
236,1,2015,BMW,X5,"$41,886 ","43,026 miles"
238,0,2016,NISSAN,ROGUE,"$16,895 ","35,707 miles"
239,1,2017,MAZDA,CX-3,"$16,895 ","7,405 miles"
240,0,2014,JEEP,GRAND CHEROKEE LIMITED,"$13,995 ","51,974 miles"
241,0,2015,CHEVROLET,TRAX,"$21,250 ","4,493 miles"
242,1,2015,HONDA,PILOT,"$21,250 ","59,753 miles"
243,0,2015,AUDI,Q5,"$23,495 ","28,007 miles"
244,0,2015,NISSAN,PATHFINDER,"$9,188 ","30,953 miles"
245,1,2014,BMW,X1,"$9,188 ","24,139 miles"
246,0,2011,HONDA,PILOT,"$17,388 ","81,224 miles"
247,1,2015,ACURA,MDX,"$17,388 ","53,040 miles"
248,0,2016,DODGE,DURANGO,"$27,355 ","17,017 miles"
249,0,2016,NISSAN,MURANO,"$22,992 ","35,426 miles"
250,0,2010,NISSAN,MURANO,"$22,992 ","123,564 miles"
251,0,2015,LEXUS,GX,"$10,495 ","40,162 miles"
252,0,2016,HONDA,PILOT,"$10,495 ","23,831 miles"
254,0,2015,JEEP,GRAND CHEROKEE LIMITED,"$37,496 ","61,148 miles"
255,0,2008,JEEP,WRANGLER UNLIMITED,"$33,862 ","52,932 miles"
256,0,2015,CHEVROLET,EQUINOX LT,"$33,862 ","55,324 miles"
258,0,2008,LEXUS,GX,"$27,988 ","78,465 miles"
259,1,2017,BMW,X5,"$26,895 ","3,478 miles"
260,0,2014,NISSAN,ROGUE,"$26,895 ","32,531 miles"
261,0,2017,BMW,X1,"$17,991 ","4,660 miles"
262,1,2016,ACURA,RDX,"$17,991 ","8,756 miles"
263,1,2013,ACURA,RDX,"$13,995 ","60,393 miles"
264,1,2014,MAZDA,CX-5,"$16,900 ","40,040 miles"
265,0,2006,HONDA,ELEMENT,"$16,900 ","98,708 miles"
266,0,2015,BMW,X5,"$7,900 ","44,848 miles"
267,0,2015,AUDI,Q5,"$7,900 ","35,665 miles"
268,1,2015,LEXUS,RX 350,"$35,588 ","31,355 miles"
269,1,2014,BMW,X5,"$35,588 ","37,240 miles"
270,0,2016,VOLVO,XC90 T6,"$30,000 ","37,628 miles"
271,0,2015,TOYOTA,RAV4 LIMITED,"$30,000 ","28,492 miles"
272,0,2011,MAZDA,CX-9,"$31,995 ","81,404 miles"
273,0,2017,BMW,X5,"$31,995 ","4,374 miles"
274,1,2015,FORD,EXPLORER,"$40,998 ","46,570 miles"
276,0,2011,LEXUS,RX,"$40,795 ","46,919 miles"
277,1,2017,BMW,X4,"$40,795 ","11,856 miles"
278,0,2015,MAZDA,CX-5 GRAND,"$22,888 ","35,016 miles"
279,1,2016,CHEVROLET,TRAX,"$20,917 ","22,384 miles"
280,1,2017,BMW,X1,"$20,917 ","11,675 miles"
281,1,2015,BMW,X1,"$36,872 ","15,914 miles"
282,1,2015,FORD,EXPLORER,"$36,872 ","31,970 miles"
283,1,2015,HONDA,PILOT,"$23,888 ","26,400 miles"
284,0,2017,MERCEDES-BENZ,GLC 300,"$23,888 ","4,882 miles"
285,1,2014,MAZDA,CX-9,"$27,998 ","48,427 miles"
286,0,2015,AUDI,Q7 PREMIUM,"$27,998 ","37,625 miles"
287,1,2015,BMW,X4,"$47,496 ","30,089 miles"
288,0,2015,NISSAN,MURANO,"$47,496 ","14,980 miles"
289,1,2014,MAZDA,CX-5,"$9,995 ","40,481 miles"
290,0,2017,JEEP,PATRIOT,"$9,995 ",381 miles
