,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
2576,2576,2576,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2577,2577,2577,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2578,2578,2578,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2579,2579,2579,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2580,2580,2580,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2581,2581,2581,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2582,2582,2582,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2583,2583,2583,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2584,2584,2584,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2585,2585,2585,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2586,2586,2586,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2587,2587,2587,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2588,2588,2588,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2589,2589,2589,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2590,2590,2590,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2591,2591,2591,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2592,2592,2592,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2593,2593,2593,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2594,2594,2594,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2595,2595,2595,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
