,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
136,136,136,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
137,137,137,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
138,138,138,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
139,139,139,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
140,140,140,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
141,141,141,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
142,142,142,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
143,143,143,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
144,144,144,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
145,145,145,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
146,146,146,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
147,147,147,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
148,148,148,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
149,149,149,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
150,150,150,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
151,151,151,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
152,152,152,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
153,153,153,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
154,154,154,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
155,155,155,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
156,156,156,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
157,157,157,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
158,158,158,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
159,159,159,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
160,160,160,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
161,161,161,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
162,162,162,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
163,163,163,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
164,164,164,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
165,165,165,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
166,166,166,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
167,167,167,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
168,168,168,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
169,169,169,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
170,170,170,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
171,171,171,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
172,172,172,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
173,173,173,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
174,174,174,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
175,175,175,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
176,176,176,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
177,177,177,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
178,178,178,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
179,179,179,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
180,180,180,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
181,181,181,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
182,182,182,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
183,183,183,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
184,184,184,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
185,185,185,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
186,186,186,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
187,187,187,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
188,188,188,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
189,189,189,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
190,190,190,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
191,191,191,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
192,192,192,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
193,193,193,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
194,194,194,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
195,195,195,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
196,196,196,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
197,197,197,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
