,Unnamed: 0,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
1,1,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
2,2,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
3,3,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
4,4,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
5,5,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
6,6,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
7,7,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
8,8,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
9,9,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
10,10,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
11,11,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
12,12,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
13,13,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
14,14,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
15,15,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
16,16,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
17,17,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
18,18,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
19,19,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
20,20,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
21,21,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
22,22,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
23,23,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
24,24,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
25,25,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
26,26,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
27,27,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
28,28,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
29,29,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
30,30,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
31,31,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
32,32,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
33,33,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
34,34,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
35,35,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
36,36,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
37,37,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
38,38,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
39,39,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
40,40,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
41,41,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
42,42,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
43,43,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
44,44,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
45,45,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
46,46,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
47,47,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
48,48,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
49,49,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
50,50,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
51,51,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
52,52,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
53,53,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
54,54,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
55,55,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
56,56,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
57,57,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
58,58,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
